country,group,target_period_start,target_period_end,group_score,status,source_count,expected_source_count,source_coverage_ratio,confidence_score,confidence_level,coverage_component,recency_component,completeness_component,consistency_component,sources_used
Nigeria,displacement,2025-04-23,2026-04-13,56.41,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Nigeria,structural,2025-04-23,2026-04-13,90.57,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Poland,event,2025-04-23,2026-04-13,37.66,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Poland,narrative,2025-04-23,2026-04-13,33.54,ok,1,1,1.0,88.79,hoch,100.0,99.58,73.6,70.0,narrative_input
Poland,governance,2025-04-23,2026-04-13,33.99,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Poland,market_food,2025-04-23,2026-04-13,12.17,ok,2,2,1.0,96.15,hoch,100.0,99.58,93.0,86.73,"fao_ffpi,fao_fpma"
Poland,shock,2025-04-23,2026-04-13,22.71,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Poland,displacement,2025-04-23,2026-04-13,34.24,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Poland,structural,2025-04-23,2026-04-13,37.43,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Russia,event,2025-04-23,2026-04-13,58.2,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Russia,narrative,2025-04-23,2026-04-13,58.47,ok,1,1,1.0,90.77,hoch,100.0,99.58,81.5,70.0,narrative_input
Russia,governance,2025-04-23,2026-04-13,53.94,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Russia,market_food,2025-04-23,2026-04-13,20.34,ok,2,2,1.0,96.3,hoch,100.0,99.58,93.0,87.73,"fao_ffpi,fao_fpma"
Russia,shock,2025-04-23,2026-04-13,30.06,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Russia,displacement,2025-04-23,2026-04-13,54.82,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Russia,structural,2025-04-23,2026-04-13,85.43,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Taiwan,event,2025-04-23,2026-04-13,50.42,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Taiwan,narrative,2025-04-23,2026-04-13,36.88,ok,1,1,1.0,89.97,hoch,100.0,99.58,78.3,70.0,narrative_input
Taiwan,governance,2025-04-23,2026-04-13,45.8,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Taiwan,market_food,2025-04-23,2026-04-13,30.6,ok,2,2,1.0,97.6,hoch,100.0,99.58,93.0,96.37,"fao_ffpi,fao_fpma"
Taiwan,shock,2025-04-23,2026-04-13,28.06,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Taiwan,displacement,2025-04-23,2026-04-13,46.15,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Taiwan,structural,2025-04-23,2026-04-13,60.57,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
Ukraine,event,2025-04-23,2026-04-13,64.18,ok,1,1,1.0,88.14,hoch,100.0,94.58,100.0,70.0,gdelt_event
Ukraine,narrative,2025-04-23,2026-04-13,61.78,ok,1,1,1.0,91.29,hoch,100.0,99.58,83.6,70.0,narrative_input
Ukraine,governance,2025-04-23,2026-04-13,59.49,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,governance_input
Ukraine,market_food,2025-04-23,2026-04-13,20.21,ok,2,2,1.0,96.33,hoch,100.0,99.58,93.0,87.87,"fao_ffpi,fao_fpma"
Ukraine,shock,2025-04-23,2026-04-13,29.89,ok,1,1,1.0,92.89,hoch,100.0,99.58,90.0,70.0,gdacs
Ukraine,displacement,2025-04-23,2026-04-13,60.09,ok,1,1,1.0,93.14,hoch,100.0,99.58,91.0,70.0,unhcr
Ukraine,structural,2025-04-23,2026-04-13,96.0,ok,1,1,1.0,82.02,hoch,100.0,57.08,89.0,70.0,un_comtrade
